X,Y,id_sec,Campo1
753776.066474771010689,4431275.198416921310127,,
753805.417346212430857,4431274.609817742370069,,
753810.726103831198998,4431275.424796868115664,,
753815.088103830930777,4431275.336796868592501,,
753820.843516400549561,4431274.284543072804809,,
754000.68224601726979,4431270.202675419859588,,
754000.755483151529916,4431270.200923660770059,,
754004.752983151120134,4431270.100423660129309,,
754006.165047475951724,4431270.031601794995368,,
754016.758990666246973,4431269.2647007657215,,
754020.825190579285845,4431269.66891014482826,,
754029.331935294903815,4431268.026485464535654,,
754031.891935294494033,4431267.133485463447869,,
754033.28380639932584,4431266.64711891207844,,
754042.413874031510204,4431261.521164306439459,,
754049.226242947508581,4431253.569738312624395,,
754052.891064082621597,4431243.761444290168583,,
754052.961907064775005,4431233.291080072522163,,
754046.354907064931467,4431194.485580071806908,,
754046.337298150872812,4431194.3832270745188,,
754040.117798150284216,4431158.602727074176073,,
754040.068546584108844,4431158.327018932439387,,
754033.575770249357447,4431122.935846982523799,,
754025.631822685827501,4431072.382821765728295,,
754022.614698606776074,4431063.204500997439027,,
754016.836731518735178,4431055.461135697551072,,
754008.897190403309651,4431049.955838547088206,,
753999.619534558034502,4431047.259598229080439,,
753989.966007499489933,4431047.652058633044362,,
753989.656507499166764,4431047.715558633208275,,
753989.600443385075778,4431047.727117037400603,,
753986.247943385038525,4431048.421617038547993,,
753985.746493628597818,4431048.618272167630494,,
753974.611212343210354,4431049.79502780828625,,
753851.057930679293349,4431062.928465442731977,,
753841.457535098190419,4431065.614687920548022,,
753833.267441108822823,4431071.298502393066883,,
753827.392047907691449,4431079.352268049493432,,
753824.480151576106437,4431088.886639883741736,,
753824.853301134775393,4431098.848775493912399,,
753832.339195837033913,4431134.967340898700058,,
753821.915237171109766,4431137.351138490252197,,
753819.28772871021647,4431125.059274772182107,,
753816.134290920570493,4431116.687685324810445,,
753810.652599758701399,4431109.618120856583118,,
753794.973099758150056,4431094.668120857328176,,
753794.141648294986226,4431093.904694531112909,,
753746.771864989888854,4431052.025328155606985,,
753686.491591655882075,4430998.724970681592822,,
753662.509313443326391,4430977.523956470191479,,
753659.531208949047141,4430975.207857395522296,,
753642.747506991843693,4430963.772749141789973,,
753632.183238654164597,4430955.885223510675132,,
753627.29343469964806,4430937.492128758691251,,
753625.529933774727397,4430930.865606172010303,,
753624.46017145854421,4430927.607833684422076,,
753618.223464272450656,4430911.738416179083288,,
753637.272404649644159,4430908.413459734991193,,
753672.73446305131074,4430902.23610442597419,,
753691.409321597777307,4430898.988737369887531,,
753728.019074208918028,4430892.650098179467022,,
753728.213382907677442,4430892.615796901285648,,
753775.122382907662541,4430884.175796901807189,,
753807.436164001584984,4430878.357211397029459,,
753807.716617235448211,4430878.311235457658768,,
753849.010469563887455,4430871.646650175563991,,
753858.483815022977069,4430870.116610043682158,,
753859.210098624811508,4430869.990132500417531,,
753953.177048968267627,4430852.434185516089201,,
754050.644741789670661,4430844.472952409647405,,
754060.382259619073011,4430843.874996360391378,,
754069.202180866268463,4430841.974091064184904,,
754077.058030921965837,4430837.536741443909705,,
754077.393025436322205,4430837.180544757284224,,
754078.047955843852833,4430837.784721034578979,,
754087.074638144462369,4430841.760007256641984,,
754096.90265456517227,4430842.593066157773137,,
754196.679154564859346,4430834.536066157743335,,
754198.458014887291938,4430834.338861331343651,,
754232.112514887470752,4430829.587861331179738,,
754241.049785201903433,4430826.856136856600642,,
754248.71282779017929,4430821.506847411394119,,
754254.358011469594203,4430814.059094696305692,,
754257.437520595267415,4430805.235617897473276,,
754257.652515771915205,4430795.892658175900578,,
754253.116515772533603,4430762.088158175349236,,
754252.22871933307033,4430759.083795092068613,,
754252.268650820245966,4430759.074166574515402,,
754189.320214074919932,4430498.013762007467449,,
754191.092051228974015,4430497.295790294185281,,
754198.491427185479552,4430490.905585401691496,,
754203.44318527111318,4430482.475545368157327,,
754205.421418609563261,4430472.90099180303514,,
754204.216026768204756,4430463.198800627142191,,
754185.44162676774431,4430399.65480062738061,,
754185.288286328548566,4430399.152053515426815,,
754144.851186328800395,4430270.619653514586389,,
754141.380712788435631,4430263.944571956060827,,
754127.1979,4430213.759102204814553,,
754127.1979,4430181.9425,,
754126.873994265799411,4430177.545975335873663,,
754123.924794266116805,4430157.639175335876644,,
754120.72821079636924,4430147.934795490466058,,
754119.814641956007108,4430146.758761233650148,,
754065.166712922859006,4430022.928839639760554,,
754060.975335102062672,4430008.553720761090517,,
754059.958243111148477,4430005.634434761479497,,
754021.385386591544375,4429910.934716528281569,,
754021.345463331555948,4429910.71874903421849,,
753990.420563331688754,4429824.212749033235013,,
753985.678671791101806,4429815.672611273825169,,
753978.444500421173871,4429809.108599320054054,,
753969.485028033726849,4429805.21664057392627,,
753959.750152707565576,4429804.409366940148175,,
753950.271982023492455,4429806.772366901859641,,
753936.99608202278614,4429812.50876690261066,,
753936.861495367018506,4429812.567311715334654,,
753845.14853972021956,4429852.729266098700464,,
753774.767714151297696,4429883.159519277513027,,
753774.335977692739107,4429883.35023227520287,,
753695.758415864198469,4429918.802005902864039,,
753688.345294812577777,4429893.54964541643858,,
753688.162568988278508,4429892.950422266498208,,
753676.949298809980974,4429857.508782061748207,,
753658.710756561020389,4429798.976227396167815,,
753658.699771281215362,4429798.954348690807819,,
753658.695692245149985,4429798.928024702705443,,
753654.02819224470295,4429784.037024701945484,,
753653.831871047848836,4429783.433157230727375,,
753636.409871048526838,4429731.712657230906188,,
753636.337977131013758,4429731.501817314885557,,
753619.457977130194195,4429682.593817315064371,,
753615.993985446635634,4429675.640295068733394,,
753610.860660571721382,4429669.809370121918619,,
753590.829160572146066,4429652.272370121441782,,
753584.808237966382876,4429648.17595683876425,,
753584.158294592169113,4429647.841090023517609,,
753575.132697163615376,4429642.290625127963722,,
753569.371958262403496,4429638.742679784074426,,
753563.221740830340423,4429634.948024080134928,,
753563.187612128676847,4429634.926998297683895,,
753546.007063017343171,4429624.358348399400711,,
753535.316497392603196,4429617.760725072585046,,
753535.277141850325279,4429617.73647886607796,,
753519.845137584139593,4429608.245506157167256,,
753500.432832030812278,4429596.035821652039886,,
753497.299733855295926,4429594.068528834730387,,
753494.434889447526075,4429592.267243611626327,,
753487.421287931269035,4429587.852086300030351,,
753484.047801084932871,4429585.729262324050069,,
753483.995694674085826,4429585.69654802698642,,
753479.955194673966616,4429583.16554802749306,,
753479.749023971497081,4429583.037559242919087,,
753476.314399153226987,4429580.924573815427721,,
753414.188541625975631,4429541.821807945147157,,
753517.541982360067777,4429500.040599102154374,,
753525.554793057148345,4429495.231375184841454,,
753531.699001382105052,4429488.189892811700702,,
753535.378388583660126,4429479.599439984187484,,
753536.235916044563055,4429470.2936129597947,,
753534.188371424563229,4429461.175426134839654,,
753416.311843391507864,4429163.706885839812458,,
753419.310507253627293,4429156.480186401866376,,
753420.014383587869816,4429146.961680272594094,,
753417.692886536126025,4429137.703815925866365,,
753412.580996484146453,4429129.643668226897717,,
753405.196135539910756,4429123.597079960629344,,
753341.940268748323433,4429086.845137753523886,,
753212.311741567449644,4429010.936532665044069,,
753062.742004985571839,4428919.792475996538997,,
753061.673337484709918,4428919.171082777902484,,
752964.735777992405929,4428865.446655822917819,,
752893.977056391537189,4428824.84734220802784,,
752820.67614796734415,4428779.470551497302949,,
752818.726069686352275,4428778.361989507451653,,
752730.955969686037861,4428732.7215895075351,,
752730.029576191795059,4428732.259989775717258,,
752653.962176192668267,4428695.981689777225256,,
752651.510021633701399,4428694.943148291669786,,
752601.188521633157507,4428676.218848290853202,,
752597.472271168488078,4428675.10376089066267,,
752551.831771168741398,4428664.571360889822245,,
752549.536210487945937,4428664.135008947923779,,
752502.725510487682186,4428657.113408949226141,,
752500.931507469969802,4428656.899322003126144,,
752448.269407469662838,4428652.218222003430128,,
752446.580382889835164,4428652.115994766354561,,
752410.302082890411839,4428650.945794764906168,,
752399.578101732651703,4428652.56111669447273,,
752397.302832510671578,4428653.842783559113741,,
752373.602007450303063,4428657.489045536145568,,
752371.877836760133505,4428657.806125558912754,,
752308.089536760002375,4428671.475025558844209,,
752306.185270163812675,4428671.948715850710869,,
752250.397953479550779,4428687.780291914008558,,
752198.776133192819543,4428700.868395684286952,,
752197.907358682947233,4428701.102583708241582,,
752146.974358682753518,4428715.654883708804846,,
752145.729185547563247,4428716.040094883181155,,
752099.97786288394127,4428731.290502676740289,,
752037.251214950112626,4428750.591032687574625,,
752037.169633432873525,4428750.616261879913509,,
751977.438405618187971,4428769.181405608542264,,
751932.259570551803336,4428782.896377036347985,,
751924.457904056296684,4428786.558467811904848,,
751918.019309288356453,4428792.287464789114892,,
751913.475162822636776,4428799.610554427839816,,
751911.200492607429624,4428807.923362880013883,,
751911.383026945404708,4428816.539834906347096,,
751914.007701296359301,4428824.74885394051671,,
751945.51444106141571,4428889.378145706839859,,
751980.0765753245214,4428960.913744422607124,,
752003.284164966782555,4429012.508138926699758,,
752003.271422116202302,4429012.51547596603632,,
751999.262660989072174,4429014.819017806090415,,
751999.26020073320251,4429014.82095867395401,,
751999.257634014822543,4429014.821907087229192,,
751995.882275640382431,4429016.762346551753581,,
751991.107834454276599,4429019.419791268184781,,
751990.774829296511598,4429019.607931677252054,,
751957.114256124361418,4429038.909491364844143,,
751927.631215346395038,4429055.734606520272791,,
751911.056492493371479,4429065.197302281856537,,
751903.680149205960333,4429071.127728965133429,,
751898.518467413377948,4429079.061041136272252,,
751896.08520880935248,4429088.207606256939471,,
751896.62256481742952,4429097.657032136805356,,
751897.700345885241404,4429100.406251011416316,,
751897.576630668016151,4429100.688283889554441,,
751896.966810070327483,4429102.078374941833317,,
751895.100119165377691,4429107.869351188652217,,
751893.920119164744392,4429113.398851188831031,,
751893.350818117382005,4429117.320936968550086,,
751892.681318117538467,4429125.881936967372894,,
751892.60089865711052,4429129.029479404911399,,
751892.899898657691665,4429140.118979405611753,,
751892.963632314349525,4429141.425197592005134,,
751894.794632313656621,4429167.334697593003511,,
751894.860350816277787,4429168.118408348411322,,
751898.423035072744824,4429204.82021813467145,,
751896.407894825446419,4429207.298920007422566,,
751895.154793127439916,4429210.688625698909163,,
751870.743418726255186,4429220.671354463323951,,
751804.972654344397597,4429240.270237600430846,,
751802.288503433112055,4429241.210761111229658,,
751744.678503432776779,4429264.518761111423373,,
751742.103163974126801,4429265.561219561845064,,
751734.186046708375216,4429270.296067149378359,,
751728.08187590376474,4429277.212614427320659,,
751724.367831617128104,4429285.656867059879005,,
751723.395095419371501,4429294.830378479324281,,
751725.255644411430694,4429303.865747033618391,,
751726.179644411080517,4429306.339747033081949,,
751726.36125071789138,4429306.813723377883434,,
751763.319798650569282,4429400.882581046782434,,
751764.895977686508559,4429407.225356147624552,,
751772.24844327068422,4429436.765270883217454,,
751778.038184333709069,4429460.033730236813426,,
751779.244694586726837,4429463.801985369995236,,
751784.111694586346857,4429476.135485371574759,,
751784.11179191141855,4429476.135651789605618,,
751784.111831144778989,4429476.135831419378519,,
751786.212646701955236,4429481.459330022335052,,
751797.471462441375479,4429510.007327197119594,,
751797.699310110183433,4429510.568401359021664,,
751800.498810109915212,4429517.267401358112693,,
751813.190548342536204,4429547.627660805359483,,
751818.656128549366258,4429564.044381510466337,,
751690.739176935399882,4429617.530180255882442,,
751646.383896261686459,4429636.064678391441703,,
751644.818287635571323,4429636.572265788912773,,
751636.55407748313155,4429640.75471693277359,,
751629.959572954918258,4429647.258760063908994,,
751625.663377367891371,4429655.464414851740003,,
751624.07501395244617,4429664.589499436318874,,
751625.345889157266356,4429673.764189797453582,,
751629.354860238963738,4429682.113933379761875,,
751647.46306791389361,4429708.434508481994271,,
751649.883264952804893,4429711.952568090520799,,
751649.903464406030253,4429711.981893240474164,,
751696.444464406231418,4429779.463393240235746,,
751696.653413775144145,4429779.762449504807591,,
751700.16187955730129,4429784.71942718885839,,
751705.783840414951555,4429792.827099951915443,,
751647.635325761744753,4429804.397999675013125,,
751594.184669346432202,4429814.782376642338932,,
751548.119119830545969,4429820.444482262246311,,
751546.198516358272173,4429820.743999230675399,,
751531.778516358346678,4429823.473999231122434,,
751530.512540579074994,4429823.742079380899668,,
751497.427096440689638,4429831.497340413741767,,
751431.422809454146773,4429845.66775512136519,,
751431.260668069706298,4429845.703034507110715,,
751338.820168070145883,4429866.084534507244825,,
751328.801452084095217,4429870.311517540365458,,
751320.947623050771654,4429877.83211758825928,,
751311.817623050883412,4429890.491117588244379,,
751310.252168891136535,4429892.8963125301525,,
751257.179234777344391,4429983.657326094806194,,
751240.568329400266521,4430011.09014200232923,,
751240.54752845026087,4430011.12511588819325,,
751231.324344057473354,4430014.394942968152463,,
751211.784344057436101,4430025.423442968167365,,
751177.658936263760552,4430044.696533366106451,,
751133.661588937509805,4430068.520700313150883,,
751133.624726020847447,4430068.540694582276046,,
751028.197726021637209,4430125.819194582290947,,
751027.826309095136821,4430126.024400750175118,,
751005.593348823371343,4430138.514054514467716,,
750990.133549275109544,4430143.898614338599145,,
750989.563880331930704,4430144.103494982235134,,
750960.359210343216546,4430154.940928848460317,,
750938.314965620054863,4430153.869313457049429,,
750921.796982905361801,4430144.562849142588675,,
750921.715270639164373,4430144.516979278996587,,
750919.076637918595225,4430143.041175563819706,,
750913.912869827356189,4430140.131069185212255,,
750881.092702632420696,4430108.692303605377674,,
750859.857045121490955,4430076.462729991413653,,
750803.827208141796291,4429984.403726223856211,,
750803.423485961859114,4429983.758948788046837,,
750767.6043497081846,4429928.133515669032931,,
750742.218126442050561,4429886.831597889773548,,
750740.400556903565302,4429883.874864942394197,,
750733.483808471821249,4429872.610974352806807,,
750733.349949852679856,4429872.395042030140758,,
750705.470280880108476,4429827.843671190552413,,
750680.074607693590224,4429785.515560553409159,,
750677.041430497192778,4429781.326539169065654,,
750670.831930497311987,4429774.146039170213044,,
750668.644838528009132,4429771.870733444578946,,
750662.525338527979329,4429766.140733444131911,,
750658.667632413096726,4429763.081976607441902,,
750652.08763241302222,4429758.692976607009768,,
750648.98538211977575,4429756.882206778042018,,
750643.824382120394148,4429754.270706777460873,,
750639.265698736417107,4429752.416387316770852,,
750631.086198735865764,4429749.848387316800654,,
750626.821660020388663,4429748.844797882251441,,
750621.541660021059215,4429748.003297883085907,,
750618.553111070534214,4429747.679503072053194,,
750612.003611069871113,4429747.300503071397543,,
750608.986774507444352,4429747.277878436259925,,
750602.916274507995695,4429747.537878436036408,,
750599.870034061488695,4429747.824521286413074,,
750593.089534061145969,4429748.813521286472678,,
750589.050330222467892,4429749.690425750799477,,
750579.270830222289078,4429752.531425750814378,,
750578.174765575909987,4429752.872710642404854,,
750494.534765576245263,4429780.682210643775761,,
750493.688339482643642,4429780.97775671351701,,
750465.225686385645531,4429791.395750586874783,,
750456.121034093550406,4429794.72324793972075,,
750448.087328796158545,4429797.667490924708545,,
750428.358080168603919,4429804.882884247228503,,
750416.751903773169033,4429809.068547159433365,,
750377.557974546100013,4429823.212005752138793,,
750375.409415066358633,4429823.989604094065726,,
750375.369026422151364,4429824.004254379309714,,
750369.540840981877409,4429826.123051954433322,,
750337.082179831224494,4429837.842916956171393,,
750306.956307620042935,4429848.743498475290835,,
750254.870056031970307,4429867.407821890898049,,
750246.853662861511111,4429871.75226052198559,,
750240.5125978437718,4429878.304176343604922,,
750236.432611269061454,4429886.458341906778514,,
750234.99058829981368,4429895.46152335871011,,
750236.319734536577016,4429904.482059748843312,,
750240.297271267510951,4429912.686686982400715,,
750247.397771267220378,4429922.977686983533204,,
750263.54535695083905,4429946.358675943687558,,
750263.596271501039155,4429946.432163527235389,,
750265.368347023031674,4429948.981767325662076,,
750274.075531359179877,4429961.59855904057622,,
750284.799571419483982,4429977.833400457166135,,
750298.753656023996882,4429999.114826583303511,,
750299.765262125991285,4430000.562798474915326,,
750302.363762126304209,4430004.058298475109041,,
750307.690516782342456,4430009.46190941054374,,
750312.308477431535721,4430015.960332964546978,,
750312.688079833751544,4430016.535044690594077,,
750312.715473799966276,4430016.576444176957011,,
750322.798421115614474,4430031.787067678757012,,
750335.494137657689862,4430050.967074966058135,,
750369.598716026055627,4430102.500393712893128,,
750378.53453389625065,4430116.01582448836416,,
750378.643307493417524,4430116.17918065469712,,
750381.142158030648716,4430119.905475368723273,,
750386.379925940418616,4430127.720398998819292,,
750420.597023359499872,4430178.781171392649412,,
750455.929862510762177,4430232.619550127536058,,
750456.434024805435911,4430233.363245217129588,,
750479.423024805495515,4430266.204745218157768,,
750479.988746964372694,4430266.985886173322797,,
750525.197142197517678,4430327.342352773062885,,
749852.465365190524608,4430564.376911367289722,,
749852.362133885850199,4430564.413496502675116,,
749463.602633886155672,4430702.988996502943337,,
749455.378180874162354,4430707.473294069990516,,
749448.937727699638344,4430714.275581547059119,,
749444.909222497371957,4430722.732631732709706,,
749443.685446995426901,4430732.01987704820931,,
749445.385720055783167,4430741.231805376708508,,
749449.844264012179337,4430749.470248057506979,,
749539.044514721957967,4430866.123375944793224,,
749570.654787227977067,4430908.44285371247679,,
749570.78444900456816,4430908.615148455835879,,
749589.879516850574873,4430933.79980285000056,,
749613.695588598377071,4430965.242956451140344,,
749634.318664636346512,4430992.457836579531431,,
749634.352802884299308,4430992.50279857032001,,
749638.553302883636206,4430998.024298571050167,,
749638.766133048804477,4430998.300710858777165,,
749654.507133049191907,4431018.500210858881474,,
749654.546597360866144,4431018.550741627812386,,
749663.305597360478714,4431029.741241626441479,,
749663.385070304153487,4431029.842329170554876,,
749674.753422210807912,4431044.238971915096045,,
749680.427269263658673,4431052.192219688557088,,
749681.384954239125364,4431053.46204808074981,,
749687.851280792849138,4431061.579111787490547,,
749696.259106533136219,4431073.938201903365552,,
749698.404493492329493,4431076.725268824957311,,
749704.300993492128327,4431083.520768825896084,,
749705.643452832009643,4431084.96875377651304,,
749706.509452832397074,4431085.843253775499761,,
749713.382379640243016,4431091.028040618635714,,
749721.444804985425435,4431094.047384100966156,,
749730.032751075923443,4431094.652627406641841,,
749738.438961070263758,4431092.79392596706748,,
749738.613461069995537,4431092.727925967425108,,
749738.670131412683986,4431092.706426450051367,,
749740.85560773301404,4431091.874776939861476,,
749744.571926978300326,4431090.523517203517258,,
749744.828765129321255,4431090.428801487199962,,
749760.487718973425217,4431084.572860437445343,,
749769.487972212373279,4431082.733148466795683,,
749800.616552727180533,4431076.359688517637551,,
749801.642974745831452,4431076.13071718160063,,
749819.54249736526981,4431071.807051535695791,,
749849.71882532350719,4431065.107752142474055,,
749858.981282622786239,4431063.05411206651479,,
749888.318688035942614,4431056.700725063681602,,
749888.476642848341726,4431056.666072,,
749922.724047739757225,4431049.05587000399828,,
749933.529821687145159,4431046.727069325745106,,
749933.561782457167283,4431046.720163088291883,,
749948.057373670046218,4431043.579616232775152,,
749970.422976971720345,4431039.027746590785682,,
749970.611055537941866,4431038.988841265439987,,
749979.800055537256412,4431037.057341264560819,,
749980.019715973874554,4431037.010309882462025,,
750005.241215973859653,4431031.511309882625937,,
750006.378551850444637,4431031.240017686970532,,
750014.437051850720309,4431029.151017687283456,,
750014.586440990096889,4431029.111881014890969,,
750018.78694099036511,4431027.99988101515919,,
750021.337652645306662,4431027.201468915678561,,
750048.19935433275532,4431017.459605116397142,,
750051.781548467697576,4431016.16571719199419,,
750051.82064806658309,4431016.151563782244921,,
750099.010648066992871,4430999.032563783228397,,
750099.250952237052843,4430998.944227076135576,,
750134.638546948786825,4430985.763936710543931,,
750245.271642571664415,4430944.575145711190999,,
750369.619148567202501,4430898.172129644080997,,
750472.217436079168692,4430859.881222909316421,,
750489.694255928043276,4430888.152406784705818,,
750529.21658612578176,4430957.316607547923923,,
750575.065713296760805,4431049.0143659170717,,
750575.899726123549044,4431050.566659363918006,,
750613.398756990442052,4431115.697563024237752,,
750659.047811135300435,4431214.934121975675225,,
750659.809007080155425,4431216.471516616642475,,
750693.729807656141929,4431280.322668970562518,,
750701.076375479460694,4431295.382968099787831,,
750705.356939939665608,4431304.158095243386924,,
750705.356939939898439,4431304.158095244318247,,
750733.695439939503558,4431362.252095244824886,,
750734.060970005579293,4431362.976409700699151,,
750782.291970005258918,4431455.418909699656069,,
750782.725235204678029,4431456.219476357102394,,
750828.44117007846944,4431537.712755371816456,,
750864.171814229688607,4431613.1448835125193,,
750869.729395475471392,4431621.168617285788059,,
750877.568579819635488,4431626.983615288510919,,
750886.859572066110559,4431629.974346978589892,,
750896.618899905239232,4431629.824236715212464,,
750905.813516657217406,4431626.549174006097019,,
750998.67399124824442,4431575.144082771614194,,
751112.624867537524551,4431522.143675195984542,,
751196.948758522979915,4431485.251972889527678,,
751273.514220499782823,4431458.850089449435472,,
751278.524877159739845,4431456.589565576054156,,
751358.761294163065031,4431411.122262607328594,,
751436.316762201371603,4431368.333262568339705,,
751514.022320287418552,4431325.461230521090329,,
751521.776073374203406,4431319.321299718692899,,
751572.686573373503052,4431263.051799718290567,,
751577.006735583185218,4431256.861226285807788,,
751606.369607991306111,4431200.890019511803985,,
751643.965973952785134,4431216.059233743697405,,
751648.682565645081922,4431217.523896106518805,,
751702.286565645365044,4431229.436896107159555,,
751703.634604108054191,4431229.704239360056818,,
751756.101217782590538,4431238.865744769573212,,
751841.353869869490154,4431260.595416496507823,,
751905.752039870829321,4431278.996648899279535,,
751950.994643110665493,4431294.34337592869997,,
751989.563146715750918,4431312.85881432518363,,
752018.979440564406104,4431333.869276768527925,,
752045.978816544055007,4431372.54395427275449,,
752063.99936278257519,4431411.591374650597572,,
752065.432153593981639,4431414.318520315922797,,
752066.15715359360911,4431415.541520315222442,,
752067.065724529675208,4431416.631327076815069,,
752095.034564530011266,4431464.156257251277566,,
752100.039245975785889,4431470.510446527041495,,
752106.559568474069238,4431475.296671787276864,,
752159.310068474151194,4431503.977171786129475,,
752164.85675737936981,4431506.306343155913055,,
752167.757751554599963,4431507.194603293202817,,
752163.419174170354381,4431575.951469511725008,,
752158.354332575807348,4431649.266325038857758,,
752158.349945548921824,4431649.330839531496167,,
752151.480945548973978,4431751.978839529678226,,
752151.444993932265788,4431752.618567566387355,,
752150.818858597544022,4431766.38238128554076,,
752148.899690013495274,4431792.577875738963485,,
752148.822623593034223,4431794.336996072903275,,
752148.636123593198135,4431807.259996073320508,,
752148.702241663006134,4431809.729982558637857,,
752149.298241662909277,4431818.486982557922602,,
752149.302301589283161,4431818.545782204717398,,
752149.922801588545553,4431827.405782205983996,,
752150.196606989367865,4431829.860277581959963,,
752151.237106989487074,4431836.640777580440044,,
752152.156953241559677,4431840.716640431433916,,
752153.315953241544776,4431844.577140431851149,,
752154.200742892920971,4431847.10771747212857,,
752155.976902360795066,4431851.54114534240216,,
752158.690735606127419,4431858.819912666454911,,
752160.008759238640778,4431861.83764533046633,,
752163.107259238953702,4431867.987645328976214,,
752163.869427099474706,4431869.404537766240537,,
752184.783335897373036,4431905.903034944087267,,
752232.732755129807629,4431989.755026766099036,,
752232.798796768765897,4431989.86992799397558,,
752246.248065211810172,4432013.150197423063219,,
752264.379638939746656,4432049.941098215989769,,
752279.425129953073338,4432080.473308516666293,,
752291.451748683932237,4432107.554764279164374,,
752321.049939437652938,4432174.212811655364931,,
752334.167886812472716,4432204.592918706126511,,
752334.189872591639869,4432204.643707223236561,,
752371.659872591379099,4432290.98320722207427,,
752371.700869286083616,4432291.07723256200552,,
752401.620369285927154,4432359.378232562914491,,
752414.811372014461085,4432389.46254351362586,,
752434.409728734171949,4432435.47664010990411,,
752466.922438381589018,4432511.762999936938286,,
752467.130603517056443,4432512.239918370731175,,
752469.789103516959585,4432518.189418370835483,,
752470.646069181151688,4432519.950527935288846,,
752476.790588207775727,4432531.595571395009756,,
752477.426246442249976,4432533.147199210710824,,
752483.040909966919571,4432546.846758993342519,,
752487.486648544785567,4432554.350780380889773,,
752493.903011061716825,4432560.258844408206642,,
752501.747637162101455,4432564.071556020528078,,
752510.35743865754921,4432565.466635480523109,,
752519.004648844595067,4432564.326159934513271,,
752526.958338949363679,4432560.746531153097749,,
752533.546201853663661,4432555.030326918698847,,
752553.006701853708364,4432532.400326917879283,,
752553.705436645308509,4432531.557136593386531,,
752563.251068989047781,4432519.600417211651802,,
752566.145906657446176,4432519.870995670557022,,
752575.267474494990893,4432517.834972995333374,,
752583.319852010114118,4432513.090754986740649,,
752589.521525650867261,4432506.09878586512059,,
752593.270599643466994,4432497.537662553600967,,
752594.31909964303486,4432493.537662553600967,,
752595.685971148894168,4432488.301908452995121,,
752603.540915766730905,4432466.120542587712407,,
752618.08358822541777,4432435.817438536323607,,
752629.417472645407543,4432413.47696833871305,,
752726.30568519840017,4432260.034647922031581,,
752730.090022715041414,4432257.370622035115957,,
752737.964151857420802,4432249.204665495082736,,
752751.571318608243018,4432228.298982047475874,,
752797.069985304726288,4432158.430297305807471,,
752804.03511998988688,4432147.722373459488153,,
752816.99752917396836,4432127.806947857141495,,
752876.998911858419888,4432037.688545636832714,,
752889.773392357863486,4432018.512116360478103,,
752936.769676668569446,4431948.585026844404638,,
752937.716898933751509,4431947.17543219961226,,
753044.272916838992387,4432005.72265834454447,,
753062.291595494258218,4432025.379360346123576,,
753069.144308413146064,4432030.935388623736799,,
753111.858108413172886,4432056.175388623960316,,
753114.012891216087155,4432057.332849661819637,,
753181.966691216337495,4432090.33894966263324,,
753184.304420187370852,4432091.354065327905118,,
753259.361638606642373,4432120.222249132581055,,
753304.58797255740501,4432140.121798800304532,,
753345.982849138672464,4432168.918210499919951,,
753395.847690878086723,4432209.131854648701847,,
753399.127011706703342,4432214.271919853053987,,
753506.331611706526019,4432328.52941985335201,,
753513.558796071913093,4432334.181633428670466,,
753522.156286219251342,4432337.385205703787506,,
753531.319932986283675,4432337.84049690887332,,
753540.192632876220159,4432335.504922286607325,,
753737.674732875893824,4432249.459122286178172,,
753742.631930714705959,4432246.715608772821724,,
753796.234230715082958,4432210.040308772586286,,
753801.81510576128494,4432205.099936557933688,,
753956.979605761240236,4432028.776636559516191,,
753958.186894072219729,4432027.31397274043411,,
754015.706925436505117,4431952.95886361040175,,
754235.430651916074567,4431688.163572771474719,,
754240.255527346278541,4431680.003466724418104,,
754242.293362415977754,4431670.74528213776648,,
754241.340675322921015,4431661.313466781750321,,
754237.492593729635701,4431652.649805796332657,,
754231.13335608097259,4431645.61938261333853,,
754066.246420773328282,4431513.146213132888079,,
753897.126190270413645,4431373.622002986259758,,
753896.959609168581665,4431373.485575272701681,,
753776.066474771010689,4431275.198416921310127,,
